piction ID,filename,event ID,permissions,iso 8601,day,month,year,recording location,pfa series,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18,Born-digital status,digitizer,file size
,,00001,,1978-12-05T00:00:00Z,05,12,1978,PFA,,,,,230,,Louis Hock,,,,,,,,,,,,MISSISSIPPI ROLLS,PACIFIC TIME,,,,,,,,,,,,,,,,,,,
,,00002,,1978-12-12T00:00:00Z,12,12,1978,PFA,,,,,231,,Lorraine Gray,Ginora Johnson,,,,,,,,,,,WITH BABIES AND BANNERS,,,,,,,,,,,,,,,,,,,,
,,00003,,1978-12-13T00:00:00Z,13,12,1978,PFA,,,,,232,,Ron Maiberg,,,,,,,,,,,,MASADA MIGHT FALL AGAIN,,,,,,,,,,,,,,,,,,,,
,,00004,,1979-01-11T00:00:00Z,11,01,1979,PFA,,,,,233,,Mary Woronov,,,,,,,,,,,,HOLLYWOOD BLVD.,SUGAR COOKIES,,,,,,,,,,,,,,,,,,,
,,00005,,1979-01-12T00:00:00Z,12,01,1979,PFA,,,,,234,,Barbara Steele,,,,,,,,,,,,BLACK SUNDAY,CASTLE OF BLOOD,8 1/2,YOUNG TOPLESS,,,,,,,,,,,,,,,,,
,,00006,,1979-01-14T00:00:00Z,14,01,1979,PFA,,,,,235,,Albert Johnson,,,,,,,,,,,,GIRL CRAZY,PRESENTING LILY MARS,,,,,,,,,,,,,,,,,,,
,,00007,,1979-01-15T00:00:00Z,15,01,1979,PFA,,,,,236,,William K. Everson,,,,,,,,,,,,GOLDEN DAWN,HEARTS IN DIXIE,,,,,,,,,,,,,,,,,,,
,,00008,,1979-01-16T00:00:00Z,16,01,1979,PFA,,,,,237,,William K. Everson,,,,,,,,,,,,THE BAT WHISPERS,THE GHOUL,THE UNDYING MONSTER,,,,,,,,,,,,,,,,,,
,,00009,,1979-01-17T00:00:00Z,17,01,1979,PFA,,,,,238,,William K. Everson,,,,,,,,,,,,BRIEF ECSTASY,SEVEN SINNERS,NON-STOP NEW YORK,,,,,,,,,,,,,,,,,,
,,00010,,1979-01-18T00:00:00Z,18,01,1979,PFA,,,,,239,,William K. Everson,,,,,,,,,,,,THE DARE DEVIL REPORTER,THE HOLE IN THE WALL,THE ROAD BACK,,,,,,,,,,,,,,,,,,
,,00011,,1979-01-20T00:00:00Z,20,01,1979,PFA,,,,,240,,William K. Everson,,,,,,,,,,,,IT’S A GIFT,SONS OF THE DESERT,,,,,,,,,,,,,,,,,,,
,,00012,,1979-01-23T00:00:00Z,23,01,1979,PFA,,BEFORE ITALIAN NEO-REALISM 1860,,,241,,Andriano Apra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00013,,1979-01-23T00:00:00Z,23,01,1979,PFA,,,and poetry,,242,,Kath Walker,,,,,,,,,,,,SHADOW SISTER,,,,,,,,,,,,,,,,,,,,
,,00014,,,,,,PFA,,,,Same (Side B only),243,,Kath Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00015,,1979-01-02T00:00:00Z,02,01,1979,PFA,,,,,241,,Jean-Pierre Gorin,,,,,,,,,,,,TWICE UPON A TIME,,,,,,,,,,,,,,,,,,,,
,,00016,,1979-01-24T00:00:00Z,24,01,1979,PFA,,,,,245,,Jim Szalapski,,,,,,,,,,,,OUTLAW COUNTRY,,,,,,,,,,,,,,,,,,,,
,,00017,,1979-01-26T00:00:00Z,26,01,1979,PFA,,,,,246,,Andriano Apra,,,,,,,,,,,,I’LL ALWAYS LOVE YOU,,,,,,,,,,,,,,,,,,,,
,,00018,,,,,,Wheeler Auditorium,,,,,247,,Josh Hanig,David Davis,,,,,,,,,,,SONG OF THE CANARY,,,,,,,,,,,,,,,,,,,,
,,00019,,1979-01-31T00:00:00Z,31,01,1979,PFA,,,,,248,,Andriano Apra,,,,,,,,,,,,AN ADVENTURE OF SALVATORE ROSA,,,,,,,,,,,,,,,,,,,,
,,00020,,1979-02-01T00:00:00Z,01,02,1979,PFA,,,,,249,,Gonzalo Herralde,,,,,,,,,,,,THE PEDRABLES MURDER RACE,THE SPIRIT OF FRANCO,,,,,,,,,,,,,,,,,,,
,,00021,,1979-02-02T00:00:00Z,02,02,1979,PFA,,,,,250,,Andriano Apra,,,,,,,,,,,,LA SIGNORA DI TUTTI,,,,,,,,,,,,,,,,,,,,
,,00022,,1979-02-06T00:00:00Z,06,02,1979,PFA,,THE UNKNOWN ITALIAN CINEMA,lecture,,251,,Andriano Apra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00023,,1979-02-07T00:00:00Z,07,02,1979,Wheeler Auditorium,,,,,252,,Barbet Schroeder,,,,,,,,,,,,KOKO-A TALKING GORILLA,,,,,,,,,,,,,,,,,,,,
,,00024,,1979-02-12T00:00:00Z,12,02,1979,PFA,,,,,253,,Alejandro Grattan,,,,,,,,,,,,ONLY ONCE IN A LIFETIME,,,,,,,,,,,,,,,,,,,,
,,00025,,1979-02-13T00:00:00Z,13,02,1979,PFA,,,,,254,,Michael Rubbo,,,,,,,,,,,,ZOLZHENITSYN’S CHILDREN,WAITING FOR FIDEL,,,,,,,,,,,,,,,,,,,
,,00026,,1979-02-14T00:00:00Z,14,02,1979,PFA,,,,,255,,Michael Rubbo,,,,,,,,,,,,I HATE TO LOSE,LOG HOUSE,THE WALLS COME TUMBLING DOWN,,,,,,,,,,,,,,,,,,
