UMO ID,FILE NAME,TITLE,ARTISTFILMMAKER,DC-PUBLISHER,EVENT_TITLE,DC-COVERAGE,RECORDING_LOCATION,DC-DESCRIPTION,DC-RIGHTS,RECORDING_RESTRICTIONS,BAM_PFA_CAPTION,TAGS,DC-TYPE,PFA_ACCESSIONNUMBER,DC-CONTRIBUTOR,DC-SUBJECT,DC-CREATOR,MIMETYPE,RECORDING_DURATION,SIZE,DC-CREATED,DC-IDENTIFIER,DC-DESCRIPTION,FILE_SIZE_FORMATTED
8464409,20030415_Black-Panther-Discussion_Kathleen-Cleaver.mp3,,Kathleen Cleaver,Black Panther Discussion,,04/15/2003,,,,,,,,,,,233023,audio/mpeg,,35824096,Mon Nov 04 16:47:00 PST 2013,,,35.0 Mb
8464488,20060125_La-Lucha_Oakland-Raider-Parking-Lot_Duncan-Macleod_Jason-Blalock.MP3,La Lucha Oakland Raider parking lot,Duncan Macleod ; Jason Blalock,La Lucha,La Lucha Oakland Raider parking lot,01/25/2006,,20060125_LaLucha_OaklandRaiderParkingLot_DuncanMacleod_JasonBlalock - PFA Theater Audio Recordings,,3,,,,,,,233023,audio/mpeg,,78671445,Mon Nov 04 16:47:18 PST 2013,,20060125_LaLucha_OaklandRaiderParkingLot_DuncanMacleod_JasonBlalock - PFA Theater Audio Recordings,76.8 Mb
8464497,20110205_Screenagers_13th-Annual-Bay-Area-High-School-Festival_Various-Speakers.WAV,Screenagers 13th Annual Bay Area High School Festival ,Various Speakers,Screenagers,Screenagers 13th Annual Bay Area High School Festival ,02/5//2011,,,,3,,,,,,,233023,audio/x-wav,,280675628,Mon Nov 04 18:10:48 PST 2013,,,274.1 Mb
8464506,20110206_Radical-Light_Visions-of-Veracity_Video-1980s_Jeanne-C-Finley_Dale-Hoyt_Doug-Hall.WAV,,Visions of Veracity ; Video 1980s ; Jeanne C Finley ; Dale Hoyt ; Doug Hall,Radical Light,,02/6//2011,,,,,,,,,,,233023,audio/x-wav,,107523116,Mon Nov 04 18:11:09 PST 2013,,,105.0 Mb
8464515,20110313_Charlie-Chan-at-the-Olympics_Stephen-Gong_Yunte-Huang.WAV,Charlie Chan at the Olympics,Stephen Gong ; Yunte Huang,Charlie Chan at the Olympics,Charlie Chan at the Olympics,03/13/2011,,,,1,,,,,,,233023,audio/x-wav,,206535212,Mon Nov 04 18:16:13 PST 2013,,,201.7 Mb
8464524,20110426_Better-This-World_Kelly-Duane-De-La-Vega_Katie-Galloway_Bradley-Crowder.WAV,Better This World,Kelly Duane De La Vega ; Katie Galloway ; Bradley Crowder,Better This World,Better This World,04/26/2011,,,,1,,,,,,,233023,audio/x-wav,,164021804,Mon Nov 04 18:20:18 PST 2013,,,160.2 Mb
8464533,20130122_Willow-springs_Tom-Luddy_Ila-von-Hasperg.WAV,Willow springs,Tom Luddy ; Ila von Hasperg,,Willow springs,01/22/2013,,,,1,,,,,,,233023,audio/x-wav,,127173932,Mon Nov 04 19:07:20 PST 2013,,,124.2 Mb
8464542,20130316_Harana_Benito-Bautista_Florante-Aguilar_Emma-Francisco.WAV,Harana,Benito Bautista ; Florante Aguilar ; Emma Francisco,,Harana,03/16/2013,,,,1,,,,,,,233023,audio/x-wav,,203530796,Mon Nov 04 19:12:54 PST 2013,,,198.8 Mb
11100957,20080127_Passion-Of-Joan-Of-Arc_Piano-Score_Judith-Rosenberg.mp3,Passion Of Joan Of Arc piano score,Judith Rosenberg,Passion Of Joan Of Arc,Passion Of Joan Of Arc,01/27/2008,,piano score,,3,,,,,,,233023,audio/mpeg,,114652023,Mon Nov 04 17:08:12 PST 2013,,,112.0 Mb
11100959,20030415_Black-Panther-Discussion_Kathleen-Cleaver.mp3,,,Black Panther Discussion,,04/15/2003,,,,,,,,,,,233023,audio/mpeg,,35824096,,,,35.0 Mb
11100963,20060309_Of-Whales-The-Moon-And-Men-Part-Two_Michel-Brault.mp3,Of Whales The Moon And Men Part Two,Michel Brault,Of Whales The Moon And Men Part Two,Of Whales The Moon And Men Part Two,03/9//2006,,20060309_OfWhalesTheMoonAndMenPartTwo_MichelBrault - PFA Theater Audio Recordings,,3,,,,,,,233023,audio/mpeg,,12837467,Mon Nov 04 16:49:55 PST 2013,,,12.5 Mb
11100967,20060310_Workshop-Part-One_Michel-Brault.mp3,Workshop Part One,Michel Brault,Workshop Part One,Workshop Part One,03/10/2006,,20060310_WorkshopPartOne_MichelBrault - PFA Theater Audio Recordings,,3,,,,,,,233023,audio/mpeg,,13164703,Mon Nov 04 16:50:04 PST 2013,,,12.9 Mb
11100968,20060426_Heart-Of-Guy-Maddin_Guy-Maddin.mp3,Heart Of Guy Maddin,Guy Maddin,Heart Of Guy Maddin,Heart Of Guy Maddin,04/26/2006,,20060426_HeartOfGuyMaddin_GuyMaddin - PFA Theater Audio Recordings (Guy Maddin),,3,,,,,,,233023,audio/mpeg,,4267085,Mon Nov 04 16:53:17 PST 2013,,,4.2 Mb
11101162,20120225_Dizzy-Heights_Mystery-of-the-Eiffel-Tower_Patrick-Ellis.wav,Mystery of the Eiffel Tower ,Patrick Ellis,,Dizzy Heights; Mystery of the Eiffel Tower,02/25/2012,,,,3,,,,,,,233023,audio/x-wav,,41829486,Mon Nov 04 18:39:49 PST 2013,,,40.8 Mb
11101179,20090419_Routine-Pleasures_JP-Gorin_mp3version.mp3,Routine Pleasures,JP Gorin,Routine Pleasures,Routine Pleasures,04/19/2009,,20090419_RoutinePleasures_JPGorin_mp3version - PFA Theater Audio Recordings,,1,,,,,,,233023,audio/mpeg,,47040987,Mon Nov 04 17:25:03 PST 2013,,,45.9 Mb
11101185,20090120_Unknown-Orson-Welles_Stefan-Drossler.wav,Unknown Orson Welles,Stefan Drossler,Unknown Orson Welles,Unknown Orson Welles,01/20/2009,,,,2,,,,,,,233023,audio/x-wav,,374426808,Mon Nov 04 17:18:15 PST 2013,,,365.7 Mb
11101190,20060122_Screenagers_Part-Two.MP3,Screenagers High School Film Festival 2006,Various artists,Screenagers High School Film Festival 2006,Screenagers High School Film Festival 2006,01/22/2006,,part 2,,3,,,,,,,233023,audio/mpeg,,33964078,Mon Nov 04 16:47:14 PST 2013,,,33.2 Mb
11101200,20060202_Alleessi_An-African-Actress_Lisa-Marie-Rollins.MP3,Alleessi An African Actress,Lisa Marie Rollins,Alleessi An African Actress,Alleessi An African Actress,02/2//2006,,,,3,,,,,,,233023,audio/mpeg,,20242990,Mon Nov 04 16:47:46 PST 2013,,,19.8 Mb
11101208,20090117_Ashes-And-Diamonds_Tony-Lin.wav,Ashes And Diamonds,Tony Lin,Ashes And Diamonds,Ashes And Diamonds,01/17/2009,,,,3,,,,,,,233023,audio/x-wav,,102608458,Mon Nov 04 17:18:05 PST 2013,,,100.2 Mb
11101217,20060226_Living-Rights_Rachel-Shigekane.MP3,Living Rights,Rachel Shigekane,Living Rights,Living Rights,02/26/2006,,20060226_LivingRights_RachelShigekane - PFA Theater Audio Recordings (Rachel Shigekane),,3,,,,,,,233023,audio/mpeg,,11117659,Mon Nov 04 16:48:15 PST 2013,,,10.9 Mb
11101226,20060201_In-A-Nutshell_Don-Bernier.MP3,In A Nutshell,Don Bernier,In A Nutshell,In A Nutshell,02/1//2006,,,,3,,,,,,,233023,audio/mpeg,,33196078,Mon Nov 04 16:47:38 PST 2013,,,32.4 Mb
11101235,20060302_Women-Of-Color-FF-2006_Stepping-Out_Various-Artists.MP3,Women of Color Film Festival 2006 Stepping out,Various Artists,Women of Color Film Festival 2006 ,Women of Color Film Festival 2006 Stepping out,03/2//2006,,20060302_WomenOfColorFF2006_SteppingOut_VariousArtists - PFA Theater Audio Recordings (Various),,3,,,,,,,233023,audio/mpeg,,56834171,Mon Nov 04 16:48:43 PST 2013,,,55.5 Mb
11101244,20060122_Screenagers_Part-One.MP3,Screenagers High School Film Festival 2006,Various artists,Screenagers High School Film Festival 2006,Screenagers High School Film Festival 2006,01/22/2006,,part 1,,3,,,,,,,233023,audio/mpeg,,92087342,Mon Nov 04 16:47:05 PST 2013,,,89.9 Mb
11101253,20060219_Troubles-Weve-Seen_History-Of-Journalism-In-Wartime_Mark-Danner.MP3,Troubles We've Seen History Of Journalism In Wartime,Mark Danner,Troubles We've Seen,Troubles We've Seen History Of Journalism In Wartime,02/19/2006,,20060219_TroublesWe'veSeen_HistoryOfJournalismInWartime_MarkDanner - PFA Theater Audio Recordings (Mark Danner),,3,,,,,,,233023,audio/mpeg,,35947135,Mon Nov 04 16:48:02 PST 2013,,,35.1 Mb
11101262,20060307_Threads-Of-Belonging_Jennifer-Montgomery.MP3,Threads Of Belonging,Jennifer Montgomery,Threads Of Belonging,Threads Of Belonging,03/7//2006,,20060307_ThreadsOfBelonging_JenniferMontgomery - PFA Theater Audio Recordings (Jennifer Montgomery),,3,,,,,,,233023,audio/mpeg,,91684967,Mon Nov 04 16:49:24 PST 2013,,,89.5 Mb
11101273,20060301_Hybrid-Autos-De-Soto-Conquest_Jordan-Biren_Lewis-Desoto.MP3,Hybrid Autos De Soto Conquest,Jordan Biren ; Lewis Desoto,Hybrid Autos De Soto Conquest,Hybrid Autos De Soto Conquest,03/1//2006,,20060301_HybridAutos_DeSotoConquest_JordanBiren_LewisDesoto - PFA Theater Audio Recordings (Jordan Biren Lewis Desoto),,3,,,,,,,233023,audio/mpeg,,69169797,Mon Nov 04 16:48:29 PST 2013,,,67.5 Mb
11101283,20060125_La-Lucha_Oakland-Raider-Parking-Lot_Duncan-Macleod_Jason-Blalock.MP3,La Lucha Oakland Raider parking lot,Duncan Macleod; Jason Blalock,La Lucha,La Lucha Oakland Raider parking lot,01/25/2006,,20060125_LaLucha_OaklandRaiderParkingLot_DuncanMacleod_JasonBlalock - PFA Theater Audio Recordings,,3,,,,,,,233023,audio/mpeg,,78671445,,,,76.8 Mb
11101289,20090419_Routine-Pleasures_Intro_JP-Gorin_mp3version.mp3,Routine Pleasures,Jean-Pierre Gorin,Routine Pleasures,Routine Pleasures,04/19/2009,,20090419_RoutinePleasures_Intro_JPGorin_mp3version - PFA Theater Audio Recordings,,1,,,,,,,233023,audio/mpeg,,8089377,Mon Nov 04 17:24:42 PST 2013,,,7.9 Mb
11101298,20081213_Ulzanas-Raid_Adell-Aldrich.wav,Ulzanas Raid,Adell Aldrich,Ulzanas Raid,Ulzanas Raid,12/13/2008,,,,1,,,,,,,233023,audio/x-wav,,32810560,Mon Nov 04 17:17:58 PST 2013,,,32.0 Mb
11101310,20060131_Making-History-In-Avant-Garde-Film_Jeffrey-Skoller.MP3,Making History In Avant Garde Film,Jeffrey Skoller,Making History In Avant Garde Film,Making History In Avant Garde Film,01/31/2006,,,,3,,,,,,,233023,audio/mpeg,,127335982,Mon Nov 04 16:47:26 PST 2013,,,124.4 Mb
11101316,20060201_In-A-Nutshell_Steve-Seid_Intro-Only.MP3,In A Nutshell ,Steve Seid ,In A Nutshell,In A Nutshell,02/1//2006,,intro only,,3,,,,,,,233023,audio/mpeg,,9004078,Mon Nov 04 16:47:42 PST 2013,,,8.8 Mb
11101325,20060222_Plagues-And-Pleasures-On-The-Salton-Sea_Chris-Metzler.MP3,Plagues And Pleasures On The Salton Sea,Chris Metzler,Plagues And Pleasures On The Salton Sea,Plagues And Pleasures On The Salton Sea,02/22/2006,,20060222_PlaguesAndPleasuresOnTheSaltonSea_ChrisMetzler - PFA Theater Audio Recordings (Chris Metzler),,3,,,,,,,233023,audio/mpeg,,59805838,Mon Nov 04 16:48:06 PST 2013,,,58.4 Mb
11101334,20060304_Women-Of-Color-FF-2006_Workshop_Christine-Choy.MP3,Women Of Color Film Festival 2006 workshop,Christine Choy,Women Of Color FF 2006,Women Of Color Film Festival 2006 workshop,03/4//2006,,20060304_WomenOfColorFF2006_Workshop_ChristineChoy - PFA Theater Audio Recordings (Christine Choy),,3,,,,,,,233023,audio/mpeg,,173554302,Mon Nov 04 16:49:04 PST 2013,,,169.5 Mb
11101347,20060223_Mardi-Gras-Made-In-China_Orville-Schell.MP3,Mardi Gras Made In China,Orville Schell,Mardi Gras Made In China,Mardi Gras Made In China,02/23/2006,,20060223_MardiGrasMadeInChina_OrvilleSchell - PFA Theater Audio Recordings (Orville Schell),,3,,,,,,,233023,audio/mpeg,,16690803,Mon Nov 04 16:48:11 PST 2013,,,16.3 Mb
11101352,20060203_Colonial-Misunderstanding_Latoya-Beck.MP3,Colonial Misunderstanding,Latoya Beck,Colonial Misunderstanding,Colonial Misunderstanding,02/3//2006,,,,3,,,,,,,233023,audio/mpeg,,10126382,Mon Nov 04 16:47:48 PST 2013,,,9.9 Mb
11101361,20060226_VIdeoletters_Program-Two_Eric-Stover.MP3,Videoletters program two,Eric Stover,VIdeoletters,Videoletters program two,02/26/2006,,20060226_VIdeoletters_ProgramTwo_EricStover - PFA Theater Audio Recordings (Eric Stover),,3,,,,,,,233023,audio/mpeg,,14275164,Mon Nov 04 16:48:17 PST 2013,,,13.9 Mb
11101373,20060302_Film-And-Video-Makers-At-Cal_Real-Live-People_Various-Artists.MP3,Film And Video Makers At Cal,Various Artists,Film And Video Makers At Cal,Film And Video Makers At Cal,03/2//2006,,20060302_FilmAndVideoMakersAtCal_RealLive_People_VariousArtists - PFA Theater Audio Recordings (UCB Student Show),,3,,,,,,,233023,audio/mpeg,,80707701,Mon Nov 04 16:48:35 PST 2013,,,78.8 Mb
11101379,20060311_Drifting-Upstream_Michel-Brault.MP3,Drifting Upstream,Michel Brault,Drifting Upstream,Drifting Upstream,03/11/2006,,20060311_DriftingUpstream_MichelBrault - PFA Theater Audio Recordings (Michel Brault),,3,,,,,,,233023,audio/mpeg,,69620825,Mon Nov 04 16:50:22 PST 2013,,,68.0 Mb
11101388,20060304_Women-Of-Color-FF-2006_Teach-Our-Children_Christine-Choy.MP3,Teach our children Women of Color Film Festival 2006,Christine Choy,Women of Color Film Festival 2006,Teach our children Women of Color Film Festival 2006,03/4//2006,,20060304_WomenOfColorFF2006_TeachOurChildren_ChristineChoy - PFA Theater Audio Recordings (Christine Choy),,3,,,,,,,233023,audio/mpeg,,60000866,Mon Nov 04 16:48:49 PST 2013,,,58.6 Mb
11101397,20060208_Okie-Noodling_Brad-Beesley.MP3,Okie Noodling,Brad Beesley,Okie Noodling,Okie Noodling,02/8//2006,,20060208_OkieNoodling_BradBeesley - PFA Theater Audio Recordings,,3,,,,,,,233023,audio/mpeg,,40876595,Mon Nov 04 16:47:50 PST 2013,,,39.9 Mb
11101406,20060322_Dreaming-Lhasa_Ritu-Sarin_Tenzing-Sonam.MP3,Dreaming Lhasa,Ritu Sarin ; Tenzing Sonam,Dreaming Lhasa,Dreaming Lhasa,03/22/2006,,"20060322_DreamingLhasa_RituSarin_TenzingSonam - PFA Theater Audio Recordings (Ritu Sarin, Tenzing Sonam)",,3,,,,,,,233023,audio/mpeg,,53958764,Mon Nov 04 16:50:56 PST 2013,,,52.7 Mb
11101418,20060228_Digital-Film-Event_Trinh-Minh-Ha.MP3,Digital Film Event,Trinh Minh-Ha,Digital Film Event,Digital Film Event,02/28/2006,,20060228_DigitalFilmEvent_TrinhMinhHa - PFA Theater Audio Recordings (Trinh Minh-Ha),,3,,,,,,,233023,audio/mpeg,,100394608,Mon Nov 04 16:48:19 PST 2013,,,98.0 Mb
11101424,20060308_Monody-In-Harmony_Darrin-Martin.MP3,Monody In Harmony,Darrin Martin,Monody In Harmony,Monody In Harmony,03/8//2006,,20060308_MonodyInHarmony_DarrinMartin - PFA Theater Audio Recordings (Darrin Martin),,3,,,,,,,233023,audio/mpeg,,31695472,Mon Nov 04 16:49:32 PST 2013,,,31.0 Mb
11101434,20060305_Women-Of-Color-FF-2006_IHave-Seen_Various-Artists.MP3,Women Of Color Film Festival 2006 I have seen,Various Artists,Women Of Color Film Festival 2006,Women Of Color Film Festival 2006 I have seen,03/5//2006,,20060305_WomenOfColorFF2006_IHaveSeen_VariousArtists - PFA Theater Audio Recordings (Christine Choy),,3,,,,,,,233023,audio/mpeg,,40398440,Mon Nov 04 16:49:18 PST 2013,,,39.5 Mb
11101442,20060310_Orders_Michel-Brault.MP3,Orders,Michel Brault,Orders,Orders,03/10/2006,,20060310_Orders_MichelBrault - PFA Theater Audio Recordings (Michel Brault),,3,,,,,,,233023,audio/mpeg,,31349839,Mon Nov 04 16:49:58 PST 2013,,,30.6 Mb
11101451,20060409_Wife-Be-Like-A-Rose_Readings-On-Cinema_Phillip-Lopate.MP3,Wife Be Like A Rose, Phillip Lopate,Readings On Cinema Wife Be Like A Rose,Readings On Cinema Wife Be Like A Rose,04/9//2006,,20060409_WifeBeLikeARose_ReadingsOnCinema_PhillipLopate - PFA Theater Audio Recordings (Phillip Lopate),,3,,,,,,,233023,audio/mpeg,,107883627,Mon Nov 04 16:51:26 PST 2013,,,105.4 Mb
11101460,20060310_Workshop-Part-Two_Michel-Brault.MP3,Workshop Part Two,Michel Brault,Workshop Part Two,Workshop Part Two,03/10/2006,,20060310_WorkshopPartTwo_MichelBrault - PFA Theater Audio Recordings (Michel Brault),,3,,,,,,,233023,audio/mpeg,,192218200,Mon Nov 04 16:50:07 PST 2013,,,187.7 Mb
11101469,20060311_Good-Riddance_Michel-Brault.MP3,Good Riddance,Michel Brault,Good Riddance,Good Riddance,03/11/2006,,20060311_GoodRiddance_MichelBrault - PFA Theater Audio Recordings (Michel Brault),,3,,,,,,,233023,audio/mpeg,,95398485,Mon Nov 04 16:50:31 PST 2013,,,93.2 Mb
11101478,20060319_Sentenced-Home_Nicole-Newnham.MP3,Sentenced Home,Nicole Newnham,Sentenced Home,Sentenced Home,03/19/2006,,20060319_SentencedHome_NicoleNewnham - PFA Theater Audio Recordings (Nicole Newnham),,3,,,,,,,233023,audio/mpeg,,61534808,Mon Nov 04 16:50:45 PST 2013,,,60.1 Mb
11101487,20060304_Women-Of-Color-FF-2006_Who-Killed-Vincent-Chin_Christine-Choy.MP3,Who Killed Vincent Chin Women of Color Film Festival 2006,Christine Choy,Women of Color Film Festival 2006,Who Killed Vincent Chin Women of Color Film Festival 2006,03/4//2006,,20060304_WomenOfColorFF2006_WhoKilledVincentChin_ChristineChoy - PFA Theater Audio Recordings (Various),,3,,,,,,,233023,audio/mpeg,,101893763,Mon Nov 04 16:48:55 PST 2013,,,99.5 Mb
