piction ID,filename,event ID,permissions,Iso 8601,day,month,year,recording location,pfa series,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18,Born-digital status,digitizer,file size
8464409,20030415_Black-Panther-Discussion_Kathleen-Cleaver.mp3,,,2003-04-15T00:00:00Z,15,04,2003,,Black Panther Discussion,,,,,,Kathleen Cleaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digitized,,35824096
8464524,20110426_Better-This-World_Kelly-Duane-De-La-Vega_Katie-Galloway_Bradley-Crowder.WAV,,1,2011-04-26T00:00:00Z,26,04,2011,,Better This World,Better This World,,,,,Kelly Duane De La Vega,Katie Galloway,Bradley Crowder,,,,,,,,,,Better This World,,,,,,,,,,,,,,,,,,Born-digital,,164021804
8464533,20130122_Willow-springs_Tom-Luddy_Ila-von-Hasperg.WAV,,1,2013-01-22T00:00:00Z,22,01,2013,,,Willow springs,,,,,Tom Luddy,Ila von Hasperg,,,,,,,,,,,Willow springs,,,,,,,,,,,,,,,,,,Born-digital,,127173932
11100957,20080127_Passion-Of-Joan-Of-Arc_Piano-Score_Judith-Rosenberg.mp3,,3,2008-01-27T00:00:00Z,27,01,2008,,Passion Of Joan Of Arc,Passion Of Joan Of Arc,,piano score,,,Judith Rosenberg,,,,,,,,,,,,Passion Of Joan Of Arc,,,,,,,,,,,,,,,,,,Born-digital,,114652023
11100963,20060309_Of-Whales-The-Moon-And-Men-Part-Two_Michel-Brault.mp3,,3,2006-03-09T00:00:00Z,09,03,2006,,Of Whales The Moon And Men Part Two,Of Whales The Moon And Men Part Two, Part Two,,,,Michel Brault,,,,,,,,,,,,Of Whales The Moon And Men,,,,,,,,,,,,,,,,,,Born-digital,,12837467
11100967,20060310_Workshop-Part-One_Michel-Brault.mp3,,3,2006-03-10T00:00:00Z,10,03,2006,,Workshop Part One,Workshop Part One,,,,,Michel Brault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,13164703
11100968,20060426_Heart-Of-Guy-Maddin_Guy-Maddin.mp3,,3,2006-04-26T00:00:00Z,26,04,2006,,Heart Of Guy Maddin,Heart Of Guy Maddin,,,,,Guy Maddin,,,,,,,,,,,,Heart Of Guy Maddin,,,,,,,,,,,,,,,,,,Born-digital,,4267085
11101162,20120225_Dizzy-Heights_Mystery-of-the-Eiffel-Tower_Patrick-Ellis.wav,,3,2012-02-25T00:00:00Z,25,02,2012,,,Dizzy Heights; Mystery of the Eiffel Tower,,,,,Patrick Ellis,,,,,,,,,,,,Mystery of the Eiffel Tower,,,,,,,,,,,,,,,,,,Born-digital,,41829486
11101179,20090419_Routine-Pleasures_JP-Gorin_mp3version.mp3,,1,2009-04-19T00:00:00Z,19,04,2009,,Routine Pleasures,Routine Pleasures,,,,,JP Gorin,,,,,,,,,,,,Routine Pleasures,,,,,,,,,,,,,,,,,,Born-digital,,47040987
11101185,20090120_Unknown-Orson-Welles_Stefan-Drossler.wav,,2,2009-01-20T00:00:00Z,20,01,2009,,Unknown Orson Welles,Unknown Orson Welles,,,,,Stefan Drossler,,,,,,,,,,,,Unknown Orson Welles,,,,,,,,,,,,,,,,,,Born-digital,,374426808
11101190,20060122_Screenagers_Part-Two.MP3,,3,2006-01-22T00:00:00Z,22,01,2006,,Screenagers High School Film Festival,Screenagers High School Film Festival 2006,,h,,,Various Artists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,33964078
11101200,20060202_Alleessi_An-African-Actress_Lisa-Marie-Rollins.MP3,,3,2006-02-02T00:00:00Z,02,02,2006,,Alleessi An African Actress,Alleessi An African Actress,,,,,Lisa Marie Rollins,,,,,,,,,,,,Alleessi An African Actress,,,,,,,,,,,,,,,,,,Born-digital,,20242990
11101208,20090117_Ashes-And-Diamonds_Tony-Lin.wav,,3,2009-01-17T00:00:00Z,17,01,2009,,Ashes And Diamonds,Ashes And Diamonds,,,,,Tony Lin,,,,,,,,,,,,Ashes And Diamonds,,,,,,,,,,,,,,,,,,Born-digital,,102608458
