event ID,permissions,month,day,year,iso 8601,recording location,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18
00001,,12,05,1978,1978-12-05T00:00:00Z,PFA,,,,230,,Louis Hock,,,,,,,,,,,,MISSISSIPPI ROLLS,PACIFIC TIME,,,,,,,,,,,,,,,,
00002,,12,12,1978,1978-12-12T00:00:00Z,PFA,,,,231,,Lorraine Gray,Ginora Johnson,,,,,,,,,,,WITH BABIES AND BANNERS,,,,,,,,,,,,,,,,,
00003,,12,13,1978,1978-12-13T00:00:00Z,PFA,,,,232,,Ron Maiberg,,,,,,,,,,,,MASADA MIGHT FALL AGAIN,,,,,,,,,,,,,,,,,
00004,,01,11,1979,1979-01-11T00:00:00Z,PFA,,,,233,,Mary Woronov,,,,,,,,,,,,HOLLYWOOD BLVD.,SUGAR COOKIES,,,,,,,,,,,,,,,,
00005,,01,12,1979,1979-01-12T00:00:00Z,PFA,,,,234,,Barbara Steele,,,,,,,,,,,,BLACK SUNDAY,CASTLE OF BLOOD,8 1/2,YOUNG TOPLESS,,,,,,,,,,,,,,
00006,,01,14,1979,1979-01-14T00:00:00Z,PFA,,,,235,,Albert Johnson,,,,,,,,,,,,GIRL CRAZY,PRESENTING LILY MARS,,,,,,,,,,,,,,,,
00007,,01,15,1979,1979-01-15T00:00:00Z,PFA,,,,236,,William K. Everson,,,,,,,,,,,,GOLDEN DAWN,HEARTS IN DIXIE,,,,,,,,,,,,,,,,
00008,,01,16,1979,1979-01-16T00:00:00Z,PFA,,,,237,,William K. Everson,,,,,,,,,,,,THE BAT WHISPERS,THE GHOUL,THE UNDYING MONSTER,,,,,,,,,,,,,,,
00009,,01,17,1979,1979-01-17T00:00:00Z,PFA,,,,238,,William K. Everson,,,,,,,,,,,,BRIEF ECSTASY,SEVEN SINNERS,NON-STOP NEW YORK,,,,,,,,,,,,,,,
00010,,01,18,1979,1979-01-18T00:00:00Z,PFA,,,,239,,William K. Everson,,,,,,,,,,,,THE DARE DEVIL REPORTER,THE HOLE IN THE WALL,THE ROAD BACK,,,,,,,,,,,,,,,
00011,,01,20,1979,1979-01-20T00:00:00Z,PFA,,,,240,,William K. Everson,,,,,,,,,,,,IT’S A GIFT,SONS OF THE DESERT,,,,,,,,,,,,,,,,
00012,,01,23,1979,1979-01-23T00:00:00Z,PFA,BEFORE ITALIAN NEO-REALISM 1860,,,241,,Andriano Apra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00013,,01,23,1979,1979-01-23T00:00:00Z,PFA,,and poetry,,242,,Kath Walker,,,,,,,,,,,,SHADOW SISTER,,,,,,,,,,,,,,,,,
00014,,,,,,PFA,,,Same (Side B only),243,,Kath Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00015,,01,02,1979,1979-01-02T00:00:00Z,PFA,,,,241,,Jean-Pierre Gorin,,,,,,,,,,,,TWICE UPON A TIME,,,,,,,,,,,,,,,,,
00016,,01,24,1979,1979-01-24T00:00:00Z,PFA,,,,245,,Jim Szalapski,,,,,,,,,,,,OUTLAW COUNTRY,,,,,,,,,,,,,,,,,
00017,,01,26,1979,1979-01-26T00:00:00Z,PFA,,,,246,,Andriano Apra,,,,,,,,,,,,I’LL ALWAYS LOVE YOU,,,,,,,,,,,,,,,,,
00018,,,,,,Wheeler Auditorium,,,,247,,Josh Hanig,David Davis,,,,,,,,,,,SONG OF THE CANARY,,,,,,,,,,,,,,,,,
00019,,01,31,1979,1979-01-31T00:00:00Z,PFA,,,,248,,Andriano Apra,,,,,,,,,,,,AN ADVENTURE OF SALVATORE ROSA,,,,,,,,,,,,,,,,,
00020,,02,01,1979,1979-02-01T00:00:00Z,PFA,,,,249,,Gonzalo Herralde,,,,,,,,,,,,THE PEDRABLES MURDER RACE,THE SPIRIT OF FRANCO,,,,,,,,,,,,,,,,
00021,,02,02,1979,1979-02-02T00:00:00Z,PFA,,,,250,,Andriano Apra,,,,,,,,,,,,LA SIGNORA DI TUTTI,,,,,,,,,,,,,,,,,
00022,,02,06,1979,1979-02-06T00:00:00Z,PFA,THE UNKNOWN ITALIAN CINEMA,lecture,,251,,Andriano Apra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00023,,02,07,1979,1979-02-07T00:00:00Z,Wheeler Auditorium,,,,252,,Barbet Schroeder,,,,,,,,,,,,KOKO-A TALKING GORILLA,,,,,,,,,,,,,,,,,
00024,,02,12,1979,1979-02-12T00:00:00Z,PFA,,,,253,,Alejandro Grattan,,,,,,,,,,,,ONLY ONCE IN A LIFETIME,,,,,,,,,,,,,,,,,
00025,,02,13,1979,1979-02-13T00:00:00Z,PFA,,,,254,,Michael Rubbo,,,,,,,,,,,,ZOLZHENITSYN’S CHILDREN,WAITING FOR FIDEL,,,,,,,,,,,,,,,,
00026,,02,14,1979,1979-02-14T00:00:00Z,PFA,,,,255,,Michael Rubbo,,,,,,,,,,,,I HATE TO LOSE,LOG HOUSE,THE WALLS COME TUMBLING DOWN,,,,,,,,,,,,,,,
00027,,02,15,1979,1979-02-15T00:00:00Z,PFA,,,,256,,Michael Rubbo,,,,,,,,,,,,THE MAN WHO CAN’T STOP,PERSISTENT & FINAGLING,,,,,,,,,,,,,,,,
00028,,02,16,1979,1979-02-16T00:00:00Z,PFA,,,,257,,Costa Werner,,,,,,,,,,,,THOMAS GRAAL’S BEST FILM,TO KILL A CHILD,THE TRAIN,,,,,,,,,,,,,,,
